time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain
2003-11-10 15:00:00,458.3200073,218.6999969,0.460046387,60.10575997,3.644955523,0
2003-11-10 16:00:00,501.8930054,218.7100067,1.409997559,58.7048486,3.520908954,0
2003-11-10 17:00:00,502.553009,218.7100067,2.360009766,57.25931441,3.427914903,0
2003-11-10 18:00:00,443.9100037,220.8899994,3.31005249,55.76611342,3.346072289,0
2003-11-10 19:00:00,345.993988,220.8899994,2.490014648,59.86213444,3.185623855,0
2003-11-10 20:00:00,222.3399963,220.8800049,1.670007324,64.26601343,3.026962236,0
2003-11-10 21:00:00,30.99200058,210.3000031,0.85,69.012891,2.872525017,0
2003-11-10 22:00:00,0,210.2899933,-0.040014648,71.1636076,2.66326856,0
2003-11-10 23:00:00,0,210.2799988,-0.940008545,73.37523336,2.479778244,0
2003-11-11 00:00:00,0,200.9299927,-1.829992676,75.54762242,2.331737473,0
2003-11-11 01:00:00,0,200.9299927,-2.109991455,74.10221509,2.42051655,0
2003-11-11 02:00:00,0,200.9199982,-2.4,72.61907045,2.50002,0
2003-11-11 03:00:00,0,202.6300049,-2.679998779,70.98460878,2.590077133,0
2003-11-11 04:00:00,0,202.6300049,-2.780004883,70.92608983,2.574975661,0
2003-11-11 05:00:00,0,202.6300049,-2.870001221,70.79819326,2.582479373,0
2003-11-11 06:00:00,0,211.2200012,-2.970007324,70.73809995,2.592681968,0
2003-11-11 07:00:00,0,211.2200012,-2.759985352,70.32231958,2.272201795,0
2003-11-11 08:00:00,0,211.2200012,-2.560003662,69.95677624,2.035313233,0
2003-11-11 09:00:00,0,214.5200043,-2.350012207,69.54215445,1.886928738,0
2003-11-11 10:00:00,0,214.5299988,-2.220007324,67.52426639,1.856906045,0
2003-11-11 11:00:00,0,214.5299988,-2.100012207,65.58569197,2.248777512,0
2003-11-11 12:00:00,49.72399902,245.6699982,-1.979986572,63.68022968,2.890017406,0
2003-11-11 13:00:00,192.6239929,245.6799927,-0.229986572,58.85778494,3.416211239,0
2003-11-11 14:00:00,309.8240051,245.6999969,1.510003662,54.42099267,4.022001887,0
2003-11-11 15:00:00,354.3680115,292.3200073,3.250024414,50.28988687,4.661072997,0
2003-11-11 16:00:00,388.4580078,292.3200073,4.010003662,49.36687798,5.61613775,0
2003-11-11 17:00:00,389.0549927,292.3300476,4.760003662,48.44852422,6.58300855,0.0039024
2003-11-11 18:00:00,308.5950012,304.5100098,5.510003662,47.50497335,7.552410259,0.0081024
2003-11-11 19:00:00,240.1139984,304.5100098,4.860009766,54.30432667,7.390060796,5.28E-05
2003-11-11 20:00:00,153.5359955,304.5100098,4.210046387,61.63090836,7.303622435,0
2003-11-11 21:00:00,17.98399925,316.9700012,3.559991455,69.53891033,7.291597988,0.0140448
2003-11-11 22:00:00,0,316.9599915,2.950006104,77.13981419,6.709292157,0.018672
2003-11-11 23:00:00,0,316.9599915,2.339990234,85.27459247,6.169935017,0.0041232
2003-11-12 00:00:00,0,319.2000427,1.740045166,93.91521162,5.663187995,0.0035328
2003-11-12 01:00:00,0,319.2000427,1.619989014,94.68542393,4.883379881,0.0047568
2003-11-12 02:00:00,0,319.2000427,1.499993896,95.45548347,4.147915101,0.0036192
2003-11-12 03:00:00,0,299.0899963,1.379998779,96.24402861,3.489312291,0.0001104
2003-11-12 04:00:00,0,299.0899963,1.339990234,96.53878109,3.36001493,0.0001104
2003-11-12 05:00:00,0,299.0899963,1.309991455,96.77620059,3.284341681,0
2003-11-12 06:00:00,0,292.9200134,1.270043945,97.07748953,3.252091741,0
2003-11-12 07:00:00,0,292.9200439,1.619989014,96.49853673,3.25213771,0
2003-11-12 08:00:00,0,292.9200439,1.969995117,95.90297625,3.25479641,0
2003-11-12 09:00:00,0,307.3599854,2.320001221,95.27899918,3.260061291,0
2003-11-12 10:00:00,0,307.3599854,2.559991455,95.38734857,3.109421256,0
2003-11-12 11:00:00,0,307.3699951,2.800042725,95.45381991,2.96435487,0
2003-11-12 12:00:00,38.58000183,290.0700378,3.040002441,95.50141955,2.830158922,0
2003-11-12 13:00:00,157.9120026,290.0799866,4.580010986,93.32299539,2.298978205,0
2003-11-12 14:00:00,255.8079987,290.1000061,6.129998779,90.64542526,1.76782352,0
2003-11-12 15:00:00,270.6400146,313.1499939,7.670037842,87.72920817,1.237618681,0
2003-11-12 16:00:00,296.9880066,313.1600037,8.550012207,86.51050261,1.518189754,0
2003-11-12 17:00:00,297.519989,313.1700134,9.429986572,85.16961504,1.824965732,0
2003-11-12 18:00:00,341.1270142,300.019989,10.31005249,83.72151054,2.124923587,0
2003-11-12 19:00:00,264.993988,300.019989,10.02004395,85.0575553,2.269911919,0
2003-11-12 20:00:00,168.6069946,300.0100098,9.740014648,86.35954034,2.547174991,0
2003-11-12 21:00:00,23.40800095,265.4700012,9.450006104,87.74304458,2.924739349,0
2003-11-12 22:00:00,0,265.4599915,8.520043945,89.25827045,2.995479972,0
2003-11-12 23:00:00,0,265.4599915,7.589990234,90.65414503,3.200765581,0
2003-11-13 00:00:00,0,257.7200012,6.670007324,91.82565016,3.502741844,0
2003-11-13 01:00:00,0,257.7099915,6.119989014,93.14179661,3.632079302,0
2003-11-13 02:00:00,0,257.7099915,5.570031738,94.44360744,3.795629031,0
2003-11-13 03:00:00,0,291.6900024,5.020043945,95.72634291,3.980263746,0
2003-11-13 04:00:00,0,291.6900024,5.610009766,96.01654143,5.232485108,0
2003-11-13 05:00:00,0,291.7000427,6.200006104,96.13709744,6.493334869,0
2003-11-13 06:00:00,0,332.5400085,6.800042725,96.03646688,7.766595268,0
2003-11-13 07:00:00,0,332.5499878,6.969995117,95.44616742,8.430954842,0.0042048
2003-11-13 08:00:00,0,332.5499878,7.140008545,94.86028817,9.114965871,0.0078336
2003-11-13 09:00:00,0,331.8999939,7.309991455,94.2662676,9.825542934,0.027196801
2003-11-13 10:00:00,0,331.8999939,7.749993896,92.37277992,7.499466677,0.036729601
2003-11-13 11:00:00,0,331.9100037,8.200006104,90.45178356,6.947092799,0.038107201
