time,FLOW,SALT,TEMP
2004-02-12T00:00:00Z,1.881190002,0,0.992097097
2004-02-13T00:00:00Z,1.881190002,0,0.992097097
2004-02-14T00:00:00Z,1.881190002,0,0.992097097
2004-02-15T00:00:00Z,1.881190002,0,0.992097097
2004-02-16T00:00:00Z,1.881190002,0,0.992097097
2004-02-17T00:00:00Z,1.881190002,0,0.992097097
2004-02-18T00:00:00Z,1.864718324,0,0.992097097
2004-02-19T00:00:00Z,1.864718324,0,0.992097097
2004-02-20T00:00:00Z,1.864718324,0,0.992097097
2004-02-21T00:00:00Z,1.864718324,0,1.004246654
2004-02-22T00:00:00Z,1.864718324,0,1.366080942
2004-02-23T00:00:00Z,1.864718324,0,0.992097097
2004-02-24T00:00:00Z,1.864718324,0,0.992097097
2004-02-25T00:00:00Z,1.864718324,0,0.992097097
2004-02-26T00:00:00Z,1.864718324,0,0.992097097
2004-02-27T00:00:00Z,1.864718324,0,0.992097097
2004-02-28T00:00:00Z,1.864718324,0,0.992082717
2004-02-29T00:00:00Z,1.864718324,0,0.997434988
2004-03-01T00:00:00Z,1.864718324,0,3.230750855
2004-03-02T00:00:00Z,1.864718324,0,3.818307673
2004-03-03T00:00:00Z,1.864718324,0,4.606094506
2004-03-04T00:00:00Z,1.864718324,0,2.423112137
2004-03-05T00:00:00Z,1.864718324,0,3.669610493
2004-03-06T00:00:00Z,1.864718324,0,7.065254763
2004-03-07T00:00:00Z,1.864718324,0,4.478341741
2004-03-08T00:00:00Z,18.32459178,0,1.714648643
2004-03-09T00:00:00Z,1.881190002,0,0.997359231
2004-03-10T00:00:00Z,1.881190002,0,1.216109315
2004-03-11T00:00:00Z,1.881190002,0,1.373421376
2004-03-12T00:00:00Z,1.881190002,0,3.240313038
2004-03-13T00:00:00Z,1.881190002,0,1.167480798
2004-03-14T00:00:00Z,1.881190002,0,0.991923014
2004-03-15T00:00:00Z,1.881190002,0,2.683317065
2004-03-16T00:00:00Z,1.881190002,0,1.319239763
2004-03-17T00:00:00Z,1.881190002,0,0.992090449
